comment,Predicted_Sentiment,Actual_Sentiment
"['the', 'course', 'material', 'was', 'good', '.', 'its', 'more', 'wide', 'than', 'i', 'had', 'expected', '.']",1,1
"['so', 'i', 'am', 'happy', 'to', 'take', 'this', 'course', 'and', 'it', 'has', 'broaden', 'my', 'knowledge', 'and', 'will', 'also', 'help', 'during', 'my', 'thesis', 'work', '.']",0,1
['useful'],1,1
"['course', 'was', 'excellent', '.', 'it', 'helped', 'me', 'to', 'make', 'better', 'decisions', '.']",0,1
['okay'],0,0
"['the', 'course', 'has', 'many', 'interesting', 'topics', 'only', 'overview', 'of', 'each', 'topic', 'was', 'given', 'could', 'have', 'tough', 'a', 'more']",0,0
"['practical', 'approach', 'where', 'teaching', 'about', 'a', 'data', 'mining', 'sofware', 'and', 'how', 'to', 'build', 'a', 'dss']",0,0
"['course', 'is', 'good']",1,1
"['course', 'was', 'a', 'little', 'abstract', ',', 'it', 'touched', 'upon', 'too', 'many', 'topics', 'but', 'not', 'in', 'depth', '.', 'execution', 'of', 'project', 'was', 'a', 'little', 'hard', '.']",0,0
"['we', 'should', 'be', 'given', 'more', 'examples', 'of', 'models', 'being', 'applied', 'in', 'real', 'life', 'situations', '.', 'it', 'would', 'give', 'us', 'a', 'better']",0,0
"['understanding', 'of', 'where', 'dst', 'is', 'being', 'used', 'on', 'a', 'global', 'scale', '.']",0,0
"['course', 'was', 'well', 'designed', '.']",1,1
"['i', 'expect', 'teacher', 'to', 'give', 'a', 'rigid', 'answer', 'instead', 'of', 'giving', 'flexibility', 'to', 'students', 'to', 'think', 'whatever', 'they', 'want', '.']",0,0
"['teacher', 'could', 'support', 'answer', 'by', 'some', 'news', 'or', 'article', '.']",0,1
"['instructor', 'was', 'always', 'available', 'and', 'helped', 'so', 'much', 'to', 'learn', 'many', 'things', '.']",1,1
['nice'],1,0
"['should', 'give', 'feedback', 'after', 'exams', 'like', 'stick', 'notes', 'in', 'the', 'answer', 'sheet', 'so', 'that', 'the', 'student', 'can', 'see', 'and', 'understand', 'what', 'he', 'can', 'do', 'better', 'to', 'improve']",0,0
"['i', 'got', 'some', 'bored', 'with', 'her', 'teaching', 'but', 'i', 'learnt', 'her', 'teachings', 'from', 'projects']",0,0
"['we', 'were', 'given', 'a', 'lot', 'of', 'real', 'life', 'examples', 'which', 'made', 'the', 'class', 'very', 'interesting', '.']",0,1
"['class', 'participation', 'helped', 'improve', 'the', 'experience', 'in', 'ait', '.']",0,1
"['instructor', 'is', 'a', 'good', 'teacher', ',', 'who', 'tries', 'to', 'bring', 'overall', 'communicate', 'of', 'all', 'the', 'students', 'during', 'class', '.']",1,1
"['she', 'has', 'tried', 'her', 'best', 'to', 'bring', 'the', 'good', 'knowledge', 'from', 'the', 'student', '.']",1,1
"['please', 'make', 'the', 'slide', 'more', 'expressive', '.']",0,0
"['it', 'could', 'be', 'beneficial', 'for', 'the', 'course', 'if', 'we', 'had', 'assignments', 'on', 'case', 'studies', 'or', 'the', 'research', 'papers', '.']",0,0
"['this', 'course', 'will', 'help', 'me', 'in', 'future', 'in', 'taking', 'decisions']",1,1
"['the', 'course', 'is', 'great']",1,1
"['1.this', 'course', 'deals', 'with', 'modern', 'examples', 'and', 'also', 'it', 'can', 'be', 'improved', 'in', 'such', 'a', 'manner', 'students', 'can', 'be', 'able', 'to', 'apply', 'to', 'the', 'modern', 'day', 'methods']",0,1
"['2.needs', 'some', 'more', 'topics', 'for', 'the', 'privacy', 'methods', 'while', 'dealing', 'with', 'the', 'data', '.']",0,0
"['its', 'good']",1,1
"['the', 'reading', 'presentations', 'are', 'not', 'effective']",0,0
"['good', 'course', 'to', 'learn', 'new', 'things', 'and', 'take', 'good', 'decisions', 'using', 'different', 'decision', 'making', 'methods']",1,1
"['this', 'is', 'a', 'very', 'useful', 'course', 'where', 'we', 'got', 'an', 'idea', 'about', 'decision', 'making', 'platform', 'and', 'also', 'good', 'for', 'business', 'management', '.']",1,1
"['this', 'course', 'is', 'a', 'great', 'help', 'in', 'im', ',', 'it', 'talk', 'alot', 'of', 'techniques', ',', 'metbod', 'and', 'models', 'to', 'help', 'to', 'improve', 'certain', 'organization', 'in', 'their', 'decision', 'making', 'in', 'terms', 'if', 'outcome', '.']",1,1
"['now', 'it', 'is', 'very', 'good']",1,1
"['the', 'course', 'includes', 'decision', 'support', 'models', 'which', 'are', 'very', 'useful', '.']",1,1
"['the', 'course', 'contains', 'too', 'many', 'models', 'and', 'they', 'all', 'need', 'practical', 'implementation', '.', 'so', 'for', 'this', 'course', 'i', 'recommend', 'at', 'a', 'lab', 'session', 'each']",0,0
"['week', 'for', 'practical', 'use', 'of', 'the', 'models', '.', 'also', 'if', 'the', 'lab', 'assistant/instructor', 'is', 'from', 'the', 'computer', 'science/im', 'field', 'would', 'be', 'better', '.']",0,0
"['course', 'was', 'well', 'structured', ',', 'however', 'lacked', 'in', 'illustrating', 'practical', 'applications', '.']",0,0
"['very', 'good', 'course', 'easy', 'to', 'learn']",1,1
"['course', 'is', 'well', 'organised..it', 'was', 'fun', 'learning']",1,1
"['subject', 'is', 'so', 'practical', 'to', 'learn', 'many', 'new', 'things', '.']",0,1
"['usefull', 'course']",1,1
"['decision', 'support', 'technologies', 'is', 'a', 'required', 'course', 'of', 'im', 'course', '.', 'it', 'is', 'dealt', 'as', 'it', 'was', 'meant', 'to', 'be', '.']",0,1
"['very', 'good', 'course', 'and', 'it', 'is', 'very', 'helpfull']",1,1
